Date,AAPL,ADBE,AMZN,AON,BA,BK,CAT,COST,CSCO,CVX,DIS,FDX,GE,GOOG,GOOGL,GS,HD,IBM,INTC,JCI,JNJ,KO,MCD,MRK,MSFT,NVDA,PEP,PFE,PG,SPGI,T,UNH,WMT,XOM
2005-01-03,0.9747318917422914,31.493821414655994,2.247499942779541,18.863509111496587,36.294835948447606,22.042988435284247,28.873547573145824,32.593714404866304,12.785686610846176,24.41602491277591,22.304054315641597,81.57918702292366,105.95383683417803,4.8933937587040335,4.91643429842314,76.85970039408724,26.28564543045069,51.549119541034756,13.664385257710125,36.728323306324135,35.559683489127245,11.356049153612148,18.17664247538595,14.75451580811644,18.560708959662414,0.18630433027992624,29.746541192836535,11.327360083501215,31.775092635835325,31.927998883592135,4.60179525990177,34.573376361282094,11.882337901561076,26.035004348728375
2005-01-04,0.959835681212192,31.09889880624707,2.133500099182129,18.393881852819316,35.80484529863279,21.98364606386433,28.858525633609514,32.55993888400512,12.75934762749659,23.727204433346238,22.632874877916453,80.16358503897813,105.63632652606594,4.992550834319339,5.016058418959221,76.78646550775667,26.438499713813176,50.90844584470515,13.40428129353566,36.51336195367341,35.419347476393554,11.258474640207432,18.25717843374282,14.514672000972887,18.609194447860485,0.18149003348317091,29.797794719602972,10.954067579960684,31.472474973264163,31.509271180035352,4.562826602984324,34.33547833862462,11.886760051069562,25.688011328575676
2005-01-05,0.969916458100953,30.084098555270824,2.0785000324249268,18.28429478977276,34.999842712250434,21.462737225827134,28.317715761830854,31.877517914403075,12.160230503508755,23.582912728476913,22.25593353078911,78.9454794726363,104.33751012638574,4.795476331197052,4.818056101056993,76.0171349728054,25.98603511801629,50.3146940784073,12.988099814813483,36.339334020374785,35.2902439696605,11.112122741929884,18.45274645899108,14.357858690495426,18.58841893577992,0.1698743912733172,29.444682574485647,10.983100867028188,31.563812207582004,31.40807610370567,4.504375093015468,33.998474497974655,11.827072053568672,25.427763590989475
2005-01-06,0.9730761112394753,30.1090915095642,2.0905001163482666,17.791180834669387,35.4758458722389,21.924315026314137,27.761872572260465,33.012621274975196,12.29190372477521,23.64342486699969,21.999288960169437,78.63272638128664,103.99114123065557,4.835883192772129,4.8586532339507285,76.17096055965096,25.77813623643617,50.28342324689855,13.051679793407411,36.44170367983883,35.22289944126584,11.028102371533842,18.31469969464706,14.5285137677786,18.595347299680487,0.17636949529514886,29.404825567271477,10.949913918199924,31.301167494654067,31.596490562364597,4.570581100632,34.176886427432834,11.915490873872002,25.15730493876592
2005-01-07,0.9780415748926644,29.499210684471265,2.069000005722046,18.354741248296786,35.349856408611615,22.214432157439102,28.14344424414006,32.17482784065744,12.456493566925749,24.076275421674328,22.05542461463813,79.25823729768864,104.94365009299786,4.725819303288226,4.748071460767478,77.10151335279424,25.45408887178453,50.262594457569264,13.13838706538813,37.15825769251433,35.35200201614653,11.131095506271866,18.423981679492094,14.537733365494779,18.574556890780897,0.1720137917146773,29.67249330946242,11.007984903039244,31.489580413418064,32.01870730113168,4.548961081726311,34.85092477800862,11.948659239836712,25.575745300654823
2005-01-10,1.050718050309027,29.394231850786706,2.0969998836517334,17.80683901010589,35.09084432705465,21.891338165722836,28.09237684345087,32.032906866878875,12.285315386936004,23.84821327334085,21.774722917459016,78.11421640499942,103.55821404003959,4.8215050197353015,4.844207211272525,76.40543745238026,25.221737895340222,49.88759294216314,13.242426239832358,36.871645947007146,35.21166531910987,11.131091511268462,18.216907501220703,14.357863117695674,18.42220082076791,0.16888129455739248,29.860437145760027,10.920881210154713,31.986351173179006,31.969866966170578,4.521937688627442,34.5733776547059,11.893390731103187,25.443068701926624
2005-01-11,1.0269437845658067,29.45921963345326,2.069999933242798,18.018176849564913,35.720847459275625,21.792432738780974,27.797913405544982,32.06669855416317,12.219483714659502,23.969230923656927,21.782741653082407,78.3529063817672,102.75005695122104,4.849269305432808,4.872101106927131,76.23691690865853,25.423519045175304,49.8355078047768,13.126829625479985,36.42124727374941,35.279019206749,11.182590341325996,18.078867052849418,14.519284379914392,18.484520436561084,0.16712336815237586,30.46984207924183,10.891847553103675,31.92925919660905,32.11989897347263,4.4841059965537955,34.7121449568809,11.844751147695472,25.4277555824458
2005-01-12,0.9848128231209541,29.234263824665067,2.07450008392334,17.885109566963944,35.69985279557313,21.779240065360117,27.641688721868725,31.924815148096616,12.351155288561745,23.927336246388904,21.83086108873673,77.68620805527695,102.2593987463046,4.817290569099158,4.8399730695713785,76.27355111623707,25.46631715899094,49.48132497455989,13.42161514882044,36.421238679255936,35.33515850263428,11.158197833376668,17.958068157115758,14.413203082259233,18.53993966434281,0.16498406652849484,30.32746061668448,10.85866600518352,32.12338711799456,32.085017465471466,4.430056925660857,34.89057218469354,11.846964871919145,25.540026976739938
2005-01-13,1.1090997344322073,29.59919183490803,2.122499942779541,17.924241372905694,36.329853646602835,21.594616296202442,27.701768184880514,32.161303285413176,12.456495056541806,24.467215019854372,22.360193386726706,78.00724797453324,102.75007773707755,4.843319745702883,4.866124398475045,75.32104528257138,25.710899169492226,49.68445436661811,13.358025282393562,36.77950708003655,35.447423679834436,11.155487503433717,17.969571449059544,14.29789754852054,18.477606123655203,0.162538403800603,30.441349845876676,10.7217950319953,31.974933323514364,31.795399158012966,4.453479919645681,35.09673229226374,11.959708828623887,25.815578088273426
2005-01-14,1.0570376006489832,29.22426638443086,2.1449999809265137,17.74421346038187,35.419852202042364,21.495710729712357,28.089362116238195,32.36399820776375,12.423577855769345,24.24846424613889,22.52059369428264,77.32413570476938,102.05735499566714,4.858689093444431,4.881566226537988,75.54086777353908,25.558029944385996,48.965664468496726,13.271332084396716,36.39054055069424,35.054490180863745,11.044369899925886,17.73948772067612,14.021167261481834,18.283688334719354,0.16689414657751672,30.13950669443167,10.510257776149311,31.68943309763174,31.66628575333975,4.404836733751615,35.049148167498224,11.85581159741451,25.800273028483268
